name,country,taxonomy,lat,lng
,,,,,
Agarwall Bina,,India ,Economics ,,
Yu Wujin,,,Philosophy,,
Yu Ying-shih,Yale University ,China ,Chinese Social History,41.3134651184082,-72.9262084960938
Yuan Ding,Sun Yat-sen University,China ,History ,14.3601770401001,-14.4676847457886
Yuan Xingpei,,China ,,,
Yuan Decheng,Sichuan University,China ,English and American  Literature,30.6250896453857,102.697280883789
Yuan Hong,Chinese Academy of Social Sciences,China ,English Literature,34.0215530395508,-118.283737182617
Yuan Wei,Chinese Academy of Social Sciences,China ,Literature,34.0215530395508,-118.283737182617
Yue Dai-yun,Peking University ,China ,Comparative Literature,39.9897232055664,116.305274963379
Yun Justin Hee-Whan,Kangnam University,Korea ,Literature,38.9034996032715,125.648597717285
,,,,,
Yung Yingyue,,,,,
Zang Li-Qiang,Nankai University ,China ,Literature,39.1381492614746,117.150108337402
Zeng Fanxu,Sun Yat-sen University,China ,Journalism,14.3601770401001,-14.4676847457886
Zhang Changhong,Palace Museum,China ,Archaeology ,1.29816102981567,103.850021362305
Zhang Qi,Peking University ,China ,Law ,39.9897232055664,116.305274963379
Zhang Zhiqiang,Nanjing University,China ,Book Studies,32.0561103820801,118.775001525879
Zhang Yun,University of Hong Kong ,Hong Kong ,Modern China Studies,22.2841663360596,114.13777923584
Zhang Jianfei,Wuhan University,China ,Literature,30.5408306121826,114.361106872559
Zhang Qiang,Beijing Normal University ,China ,Political Science ,39.9572219848633,116.362503051758
Zhang Jun,,,Economics ,,
Zhang Weiran,Fudan University,China ,Historical Geography,31.2988891601562,121.499168395996
Zhang Hui,,China ,Comparative Literature,,
Zhang Hongsheng,Nanjing University,China ,Comparative Literature,32.0561103820801,118.775001525879
Zhang Fa,,China ,,,
Zhang Yongyi,Sun Yat-sen University,China ,Philosophy,14.3601770401001,-14.4676847457886
Zhang Zi-qing,Nanjing University,China ,American Poetry ,32.0561103820801,118.775001525879
Zhang Jinfei,Harvard University,China ,Intellectual History,42.3734741210938,-71.1179580688477
Zhang Fengqian,Sun Yat-sen University,China ,Philosophy,14.3601770401001,-14.4676847457886
Zhang Huiying,Chinese Academy of Social Sciences,China ,,34.0215530395508,-118.283737182617
Zhang Guangbao,Chinese Academy of Social Sciences,China ,Chinese Philosophy,34.0215530395508,-118.283737182617
Zhang Min,Harvard University,China ,Anthropology,42.3734741210938,-71.1179580688477
Zhang Ting cheng,Fudan University,China ,English Literature,31.2988891601562,121.499168395996
Zhang Jinfeng,Renmin University of China,China ,China's Rural Labor Transfer,36.5631141662598,103.735809326172
Zhang Han,University of Hong Kong ,Hong Kong ,Political Science ,22.2841663360596,114.13777923584
Zhang Zhan,Harvard University,China ,History ,42.3734741210938,-71.1179580688477
Zhang Haiqing,Sun Yat-sen University,China ,Political Science ,14.3601770401001,-14.4676847457886
Zhang Ai-ping,Fudan University,China ,American Literature ,31.2988891601562,121.499168395996
Zhang Xiaohong,Fudan University,China ,Historical Geography,31.2988891601562,121.499168395996
Zhang Zhizhong,Peking University ,China ,History ,39.9897232055664,116.305274963379
Zhang Jian,Harvard University,China ,Chinese Literature,42.3734741210938,-71.1179580688477
Zhang Yu,Chinese Academy of Social Sciences,China ,Russian Literature,34.0215530395508,-118.283737182617
Zhang Jishun,East China Normal University,China ,History ,42.7576217651367,-82.4837265014648
Zhang Feng,Chinese Academy of Social Sciences,China ,English Literature,34.0215530395508,-118.283737182617
Zhang Wei,Nankai University ,China ,Economic History,39.1381492614746,117.150108337402
Zhang Chong,Nanjing University,China ,English Literature,32.0561103820801,118.775001525879
Zhang Yuanlin,,China ,Art History ,,
Zhang Yimin,Nanjing University,China ,History ,32.0561103820801,118.775001525879
Zhang Lidong,Chinese Academy of Social Sciences,China ,Archaeology ,34.0215530395508,-118.283737182617
Zhang Wenzhi,Shandong University ,China ,Philosophy,36.4687118530273,118.517127990723
Zhang Longxi,Harvard University,China ,Comparative Literature,42.3734741210938,-71.1179580688477
Zhang Changping,Wuhan University,China ,Archaeology ,30.5408306121826,114.361106872559
Zhang Wenjun,Zhejiang University ,China ,Comparative Education,30.2636108398438,120.120826721191
Zhang Kan,Xiamen University ,China ,Chinese History ,24.4795093536377,118.089477539062
Zhao Wenshu,Nanjing University,China ,American Culture,32.0561103820801,118.775001525879
Zhao Hui,Harvard University,China ,History ,42.3734741210938,-71.1179580688477
Zhao Weini,Sichuan University,China ,Law ,30.6250896453857,102.697280883789
Zhao Yingzhi,Harvard University,China ,Chinese Literature,42.3734741210938,-71.1179580688477
Zhao Xifang,,China ,,,
Zhao Xiaoli,Peking University ,China ,Law ,39.9897232055664,116.305274963379
Zhao Lijian,Nanjing University,China ,English and American  Literature,32.0561103820801,118.775001525879
,,,,,
Zhao Hongcheng,Peking University ,China ,Economics ,39.9897232055664,116.305274963379
Zhao Xiurong,Renmin University of China,China ,History ,36.5631141662598,103.735809326172
Zhao Yi,Chinese Academy of Social Sciences,China ,American Culture,34.0215530395508,-118.283737182617
Zhao Wenhong,Chinese Academy of Social Sciences,China ,History ,34.0215530395508,-118.283737182617
Zhao Yifan,Harvard University,China ,Literature,42.3734741210938,-71.1179580688477
Zhao Tingyang,Chinese Academy of Social Sciences,China ,Chinese Thought,34.0215530395508,-118.283737182617
Zhao Hanyu,Harvard University,China ,Political Science ,42.3734741210938,-71.1179580688477
Zhao Shukai,"Development Research Center of the State Council, China",China ,Political Science ,36.5631141662598,103.735809326172
Zhao Baisheng,Peking University ,China ,,39.9897232055664,116.305274963379
Zheng Guomin,Beijing Normal University ,China ,Education ,39.9572219848633,116.362503051758
Zheng Zhenman,Xiamen University ,China ,History ,24.4795093536377,118.089477539062
Zheng Ji’e,Sichuan University,China ,History ,30.6250896453857,102.697280883789
Zheng Shi Ping,Fudan University,China ,English ,31.2988891601562,121.499168395996
Zhong Xiangcai,Shanghai Academy of Social Sciences ,China ,Economics ,31.2026710510254,121.511947631836
Zhong Zhiqing,Chinese Academy of Social Sciences,China ,Comparative Literature,34.0215530395508,-118.283737182617
Zhong Hua,Chinese Academy of Social Sciences,China ,Archaeology ,34.0215530395508,-118.283737182617
Zhong Shuiying,Wuhan University,China ,Economics ,30.5408306121826,114.361106872559
Zhou Haiyan,Nanjing University,China ,Sociology ,32.0561103820801,118.775001525879
Zhou Daming,Sun Yat-sen University,China ,Anthropology,14.3601770401001,-14.4676847457886
Zhou Xiaohong,Nanjing University,China ,Sociology ,32.0561103820801,118.775001525879
Zhou Wu,Shanghai Academy of Social Sciences ,China ,Chinese History ,31.2026710510254,121.511947631836
Zhou Qi,Fudan University,China ,International Politics,31.2988891601562,121.499168395996
Zhou Mingwei,Fudan University,China ,American Politics ,31.2988891601562,121.499168395996
Zhou Weipei,Nanjing University,China ,History ,32.0561103820801,118.775001525879
Zhou Xiang,Sun Yat-sen University,China ,History ,14.3601770401001,-14.4676847457886
Zhou Changzheng,Nanjing University,China ,Law ,32.0561103820801,118.775001525879
Zhou Qi,Chinese Academy of Social Sciences,China ,Buddhism,34.0215530395508,-118.283737182617
Zhou Fenghua,Huazhong Normal University,China ,,40.5108184814453,-88.9934768676758
Zhou Liu,Harvard University,China ,Social Policy ,42.3734741210938,-71.1179580688477
Zhou Lian,Renmin University of China,China ,Philosophy,36.5631141662598,103.735809326172
Zhou Tingsheng,Minzu University of China,China ,Linguistics ,36.5631141662598,103.735809326172
Zhou Kai,Shanghai Jiao Tong University,China ,Political Science ,31.0254402160645,121.436302185059
Zhou Yi,,China ,Sociology ,,
Zhoumaoka ,Southwest University for Nationalities,China ,Ethnography ,42.3196296691895,-83.0973968505859
Zhu Xufeng,Nankai University ,China ,Public Administration ,39.1381492614746,117.150108337402
Zhu Haiyan,,,,,
Zhu Yan,Renmin University of China,China ,Law ,36.5631141662598,103.735809326172
Zhu Yuelin,,,,,
Zhu Gang,Nanjing University,China ,English ,32.0561103820801,118.775001525879
Zhu Hong,Chinese Academy of Social Sciences,China ,Literature,34.0215530395508,-118.283737182617
Zhu Wanrun,Jilin University,China ,Political Philosophy,43.8378410339355,126.549438476562
Zhu Rui-xi,,China ,,,
Zhu Suli,Peking University ,China ,Law ,39.9897232055664,116.305274963379
Zhu Zhifang,Wuhan University,China ,Philosophy,30.5408306121826,114.361106872559
Zhu Haiyan,,,,,
Zhu Xueqin,,China ,,,
Zhu Xiaohong,Peking University ,China ,Law ,39.9897232055664,116.305274963379
Zhu Xiaohong,,,Law ,,
Zhu Hong,Chinese Academy of Social Sciences,China ,,34.0215530395508,-118.283737182617
Zhu Wenchu,Harvard University,China ,Chinese Literature,42.3734741210938,-71.1179580688477
,,,,,
Zhu Gang,Chinese Academy of Social Sciences,China ,Literature,34.0215530395508,-118.283737182617
Zhu Jiangang,Sun Yat-sen University,China ,Anthropology,14.3601770401001,-14.4676847457886
Zhu Xufeng,Nankai University ,China ,Public Administration ,39.1381492614746,117.150108337402
Zhuang Shuting,,China ,Anthropology,,
Zoh Myeong-han,Seoul National University ,Korea ,Psycholinguistics ,37.4599990844727,126.949996948242
Zou Wei,Wuhan University,China ,Economics ,30.5408306121826,114.361106872559
Zou Chong-hua,Sichuan University,China ,History ,30.6250896453857,102.697280883789
